account_id,account_name,industry,sub_industry,matched_name,matched_industry,fees_inc_vat,revenue,tickets,transactions,last_txn
2803.0,Squire Performing Arts Centre,Theatres,Venue,True,True,13830.35,231571.31,15785,6445,2026-05-25
4349.0,Richmond Shakespeare Society,Theatres,AMDRAM,False,True,6474.08,110816.5,6280,3340,2026-05-25
3344.0,Golden Goose Theatre LTD,Theatres,,True,True,4454.31,73852.1,5106,3287,2026-05-25
594.0,"Lane Theatre, Newquay",Theatres,Venue,True,True,4423.12,72038.84,5491,2401,2026-05-25
12116.0,MEGA MUSICAL EVENTS,Theatres,,True,True,2883.65,55262.38,754,475,2026-05-17
10620.0,Luton Creative Community,Theatres,,False,True,2856.2,48266.1,3452,1397,2026-05-25
17522.0,Dramacube,Theatres,,True,True,2046.2,34603.0,2191,736,2026-03-14
15339.0,Razzamataz Theatre Schools Brentwood,Theatres,Club/Group,True,True,1883.62,30445.4,2378,790,2025-12-07
4941.0,Formby Little Theatre,Theatres,Venue,True,True,1840.95,28023.0,2851,1193,2026-05-25
403.0,Channing School Drama Dept,Education,Independent School - Senior,True,False,1799.05,28137.0,5769,2770,2026-05-24
15982.0,Penrith Playhouse,Business,Venue,True,False,1426.45,23739.41,1912,918,2026-05-23
5158.0,Leicester College of Performing Arts,Education,College,True,False,1393.25,22996.0,1614,617,2026-05-22
2945.0,Aunty Jen Productions,Theatres,,True,True,1337.54,21761.5,1862,633,2026-05-19
6855.0,Cumbria Opera Group,Music,,True,False,1311.4,23024.0,1122,588,2026-05-21
6933.0,MAD Group Malborough,Theatres,,False,True,1269.15,19560.0,1927,608,2026-01-13
14263.0,Barns Green Players,Theatres,,True,True,1263.55,20921.0,1384,448,2026-05-16
5783.0,Razzle Dazzle Theatre School,Theatres,,True,True,1144.07,19616.5,1104,383,2026-05-25
779.0,BATS Burneside,Theatres,AMDRAM,False,True,1088.65,16982.0,1593,564,2026-05-25
3936.0,Manor CE Academy Performing Arts,Education,State School - Secondary,True,False,1031.45,14644.0,2607,828,2026-05-22
3556.0,Trinity Drama Department,Education,Independent School - Senior,True,False,925.06,13531.5,1861,784,2026-05-25
36.0,Michael Frayn Theatre,Theatres,Venue,True,True,920.04,13346.25,2069,1247,2026-05-22
196.0,ASH Stage Productions,Theatres,AMDRAM,True,True,892.68,13625.04,1408,461,2026-05-17
8547.0,Prior Park College Performing Arts,Education,Independent School - Senior,True,False,781.7,12185.5,1774,860,2026-05-18
538.0,Parish Players,Theatres,,True,True,747.45,12102.0,986,427,2026-05-16
13559.0,Future Faces Performing Arts School,Theatres,,True,True,732.45,11826.0,963,308,2026-05-25
11692.0,KS Musicals,Dance,,True,False,712.78,10562.0,1228,418,2026-05-24
16096.0,Abbey Musical Society,Theatres,AMDRAM,True,True,663.33,10578.5,1235,407,2026-02-26
16166.0,All Stars Theatre Academy,Theatres,,True,True,639.0,13172.0,870,311,2025-12-14
8813.0,KAOS Musical Theatre,Theatres,,True,True,616.06,10323.2,686,301,2025-11-29
17686.0,The Trull Players,Theatres,AMDRAM,True,True,612.95,9643.0,875,334,2026-05-25
12907.0,Comrie Amateur Dramatic Society,Theatres,AMDRAM,True,True,598.6,9374.0,1140,377,2026-04-18
1936.0,The Holroyd Community Theatre,Theatres,AMDRAM,True,True,557.6,9660.0,467,321,2026-05-20
16190.0,Marie-Claire Lindsay,Theatres,,False,True,557.1,9354.0,604,256,2025-09-13
17859.0,Bridgwater Pantomime Society,Theatres,AMDRAM,True,True,554.8,8942.0,718,212,2026-01-31
18927.0,CCYD Performing Arts,Education,,True,False,549.55,8642.0,775,320,2026-02-12
4625.0,InstantOpera,Music,,True,False,545.53,9773.41,377,204,2025-10-12
14794.0,BaccyJ &amp; Folio Productions,Business,,True,False,541.96,8283.5,847,561,2026-05-16
4781.0,Brightlight Theatre,Theatres,Venue,True,True,524.07,7765.3,925,419,2026-05-06
15579.0,SWPS Drama Department,Education,State School - Grammar,True,False,509.67,7741.0,1022,453,2026-05-25
